,year,bb_date,rank,song,artist,binary,language,total_words,non_e_words,streams,position,spins,radio_rank
856,2020,2020-03-07,57,heart on ice,rod wave,0.0,english,262.0,0.0,,,1172.0,88.0
857,2020,2020-03-07,58,fine by time,youngboy never broke again,0.0,english,663.0,0.0,1905962.0,149.0,,
858,2020,2020-03-07,59,bad bad,youngboy never broke again,0.0,english,367.0,0.0,,,,
859,2020,2020-03-07,60,knocked off,youngboy never broke again,0.0,english,481.0,0.0,2333031.0,91.0,,
860,2020,2020-03-07,61,to die for,sam smith,0.0,english,288.0,0.0,3598773.0,42.0,1159.0,89.0
861,2020,2020-03-07,62,we back,jason aldean,0.0,english,388.0,0.0,,,2167.0,47.0
862,2020,2020-03-07,63,go stupid,polo g,0.0,english,770.0,3.0,3890025.0,38.0,,
863,2020,2020-03-07,64,what she wants tonight,luke bryan,0.0,english,377.0,0.0,,,2213.0,43.0
864,2020,2020-03-07,65,nobody but you,blake shelton,0.0,english,352.0,0.0,,,1385.0,78.0
865,2020,2020-03-07,66,suicidal,ynw melly,0.0,english,442.0,0.0,5327432.0,19.0,,
866,2020,2020-03-07,67,chasin you,morgan wallen,0.0,english,325.0,0.0,,,1497.0,69.0
867,2020,2020-03-07,68,i wish grandpas never died,riley green,0.0,english,336.0,0.0,,,1459.0,73.0
868,2020,2020-03-07,69,out west,jackboys,0.0,english,492.0,0.0,4228799.0,27.0,266.0,374.0
869,2020,2020-03-07,70,more hearts than mine,ingrid andress,0.0,english,305.0,0.0,,,1687.0,60.0
870,2020,2020-03-07,71,moral of the story,ashe,0.0,english,325.0,0.0,4129688.0,30.0,,
871,2020,2020-03-07,72,homemade,jake owen,0.0,english,281.0,0.0,,,2238.0,42.0
872,2020,2020-03-07,73,slow dance in a parking lot,jordan davis,0.0,english,277.0,0.0,,,,
873,2020,2020-03-07,74,forever,justin bieber,0.0,english,546.0,0.0,4887760.0,22.0,,
874,2020,2020-03-07,75,i hope youre happy now,carly pearce,0.0,english,224.0,0.0,,,1520.0,68.0
875,2020,2020-03-07,76,know your worth,khalid,0.0,english,292.0,0.0,2963648.0,58.0,1990.0,49.0
876,2020,2020-03-07,77,whats poppin,jack harlow,0.0,english,529.0,2.0,5740264.0,14.0,,
877,2020,2020-03-07,78,dive bar,garth brooks,0.0,english,262.0,2.0,,,,
878,2020,2020-03-07,79,make no sense,youngboy never broke again,0.0,english,506.0,0.0,2673958.0,71.0,,
879,2020,2020-03-07,80,rip lil phat,youngboy never broke again,0.0,english,561.0,0.0,,,,
880,2020,2020-03-07,81,catch,brett young,0.0,english,365.0,0.0,,,1846.0,56.0
881,2020,2020-03-07,82,before you go,lewis capaldi,0.0,english,323.0,0.0,2664855.0,73.0,1157.0,90.0
882,2020,2020-03-07,83,toes,dababy,0.0,english,625.0,0.0,4335706.0,25.0,,
883,2020,2020-03-07,84,my time,bts,0.0,english,327.0,93.0,2841202.0,65.0,,
884,2020,2020-03-07,85,long rd,youngboy never broke again,0.0,english,456.0,0.0,,,,
885,2020,2020-03-07,86,south of the border,ed sheeran,0.0,english,603.0,35.0,,,1098.0,95.0
886,2020,2020-03-07,87,filter,bts,1.0,korean,199.0,171.0,2908987.0,61.0,,
887,2020,2020-03-07,88,pussy fairy,jhene aiko,0.0,english,351.0,0.0,,,,
888,2020,2020-03-07,89,bat man,youngboy never broke again,0.0,english,538.0,0.0,,,,
889,2020,2020-03-07,90,homecoming queen,kelsea ballerini,0.0,english,245.0,0.0,,,1358.0,80.0
890,2020,2020-03-07,91,heartless,diplo,0.0,english,386.0,0.0,5356244.0,48.0,7257.0,4.0
891,2020,2020-03-07,92,the man,taylor swift,0.0,english,418.0,0.0,,,1640.0,62.0
892,2020,2020-03-07,93,shake the room,pop smoke,0.0,english,437.0,4.0,1947724.0,142.0,,
893,2020,2020-03-07,94,rare,selena gomez,0.0,english,379.0,0.0,1966457.0,138.0,1753.0,59.0
894,2020,2020-03-07,95,come thru,summer walker,0.0,english,422.0,0.0,,,1849.0,55.0
895,2020,2020-03-07,96,ridin roads,dustin lynch,0.0,english,367.0,0.0,,,1611.0,63.0
896,2020,2020-03-07,97,me and my guitar,a boogie wit da hoodie,0.0,english,542.0,1.0,1956501.0,140.0,,
897,2020,2020-03-07,98,feel me,selena gomez,0.0,english,418.0,0.0,3581695.0,43.0,,
898,2020,2020-03-07,99,vete,bad bunny,1.0,spanish,376.0,376.0,2091832.0,124.0,,
899,2020,2020-03-07,100,sugar,brockhampton,0.0,english,550.0,0.0,4056221.0,35.0,569.0,179.0
900,2020,2020-03-14,1,the box,roddy ricch,0.0,english,540.0,3.0,15264900.0,1.0,5930.0,6.0
901,2020,2020-03-14,2,life is good,future,0.0,english,785.0,0.0,10946346.0,6.0,6487.0,12.0
902,2020,2020-03-14,3,dont start now,dua lipa,0.0,english,278.0,0.0,6659492.0,12.0,8032.0,2.0
903,2020,2020-03-14,4,circles,post malone,0.0,english,314.0,0.0,6198842.0,17.0,8536.0,1.0
904,2020,2020-03-14,5,stupid love,lady gaga,0.0,english,335.0,0.0,7497882.0,8.0,2378.0,38.0
905,2020,2020-03-14,6,roxanne,arizona zervas,0.0,english,355.0,0.0,7035145.0,9.0,11063.0,3.0
906,2020,2020-03-14,7,blinding lights,the weeknd,0.0,english,259.0,0.0,8663011.0,2.0,4729.0,10.0
907,2020,2020-03-14,8,dance monkey,tones and i,0.0,english,434.0,0.0,5478360.0,21.0,4915.0,8.0
908,2020,2020-03-14,9,memories,maroon 5,0.0,english,442.0,0.0,2849546.0,78.0,5738.0,7.0
909,2020,2020-03-14,10,intentions,justin bieber,0.0,english,470.0,0.0,8139379.0,5.0,3420.0,20.0
910,2020,2020-03-14,11,someone you loved,lewis capaldi,0.0,english,323.0,0.0,3964906.0,47.0,4274.0,13.0
911,2020,2020-03-14,12,everything i wanted,billie eilish,0.0,english,305.0,0.0,4886276.0,29.0,5994.0,5.0
912,2020,2020-03-14,13,hot girl bummer,blackbear,0.0,english,513.0,0.0,3962763.0,48.0,9495.0,4.0
913,2020,2020-03-14,14,adore you,harry styles,0.0,english,303.0,0.0,5200123.0,25.0,4810.0,9.0
914,2020,2020-03-14,15,woah,lil baby,0.0,english,664.0,1.0,5545953.0,20.0,2382.0,37.0
915,2020,2020-03-14,16,say so,doja cat,0.0,english,460.0,0.0,8494545.0,3.0,2184.0,42.0
916,2020,2020-03-14,17,heartless,the weeknd,0.0,english,378.0,0.0,4876279.0,75.0,4141.0,14.0
917,2020,2020-03-14,18,heatin up,lil baby,0.0,english,720.0,6.0,6682754.0,11.0,,
918,2020,2020-03-14,19,the bones,maren morris,0.0,english,319.0,0.0,,,4086.0,16.0
919,2020,2020-03-14,20,10000 hours,dan and shay,0.0,english,319.0,0.0,3279191.0,60.0,5820.0,18.0
920,2020,2020-03-14,21,that way,lil uzi vert,0.0,english,524.0,0.0,7756870.0,7.0,,
921,2020,2020-03-14,22,ballin,dj mustard,0.0,english,577.0,5.0,4951041.0,27.0,3665.0,21.0
922,2020,2020-03-14,23,commercial,lil baby,0.0,english,911.0,0.0,4715522.0,31.0,,
923,2020,2020-03-14,24,bop,dababy,0.0,english,708.0,0.0,4626882.0,32.0,4066.0,17.0
924,2020,2020-03-14,25,my oh my,camila cabello,0.0,english,443.0,0.0,3898485.0,50.0,4099.0,15.0
925,2020,2020-03-14,26,sum 2 prove,lil baby,0.0,english,901.0,1.0,4536805.0,34.0,624.0,250.0
926,2020,2020-03-14,27,lose you to love me,selena gomez,0.0,english,359.0,0.0,2154535.0,128.0,4721.0,11.0
927,2020,2020-03-14,28,live off my closet,lil baby,0.0,english,879.0,1.0,4869327.0,30.0,,
928,2020,2020-03-14,29,you should be sad,halsey,0.0,english,391.0,0.0,4306820.0,37.0,2677.0,32.0
929,2020,2020-03-14,30,high fashion,roddy ricch,0.0,english,629.0,4.0,6813218.0,10.0,619.0,166.0
930,2020,2020-03-14,31,emotionally scarred,lil baby,0.0,english,735.0,0.0,2835388.0,79.0,,
931,2020,2020-03-14,32,si veo a tu mama,bad bunny,1.0,spanish,309.0,309.0,6277199.0,16.0,,
932,2020,2020-03-14,33,la dificil,bad bunny,1.0,spanish,311.0,311.0,6416438.0,13.0,,
933,2020,2020-03-14,34,falling,trevor daniel,0.0,english,328.0,0.0,8510030.0,18.0,1744.0,63.0
934,2020,2020-03-14,35,good as hell,lizzo,0.0,english,371.0,0.0,,,3640.0,19.0
935,2020,2020-03-14,36,vete,bad bunny,1.0,spanish,376.0,376.0,5260920.0,23.0,,
936,2020,2020-03-14,37,no guidance,chris brown,0.0,english,612.0,0.0,2307032.0,113.0,2158.0,44.0
937,2020,2020-03-14,38,ptsd,g herbo,0.0,english,642.0,0.0,4010910.0,44.0,,
938,2020,2020-03-14,39,homesick,kane brown,0.0,english,274.0,0.0,,,3033.0,24.0
939,2020,2020-03-14,40,yummy,justin bieber,0.0,english,445.0,2.0,3324914.0,57.0,662.0,156.0
940,2020,2020-03-14,41,what a man gotta do,jonas brothers,0.0,english,401.0,0.0,2490003.0,96.0,2808.0,29.0
941,2020,2020-03-14,42,godzilla,eminem,0.0,english,952.0,1.0,5417919.0,22.0,288.0,354.0
942,2020,2020-03-14,43,senorita,shawn mendes,0.0,english,357.0,5.0,2190393.0,121.0,,
943,2020,2020-03-14,44,ritmo bad boys for life,black eyed peas,0.0,english,600.0,281.0,,,,
944,2020,2020-03-14,45,bad guy,billie eilish,0.0,english,222.0,0.0,3123121.0,69.0,2300.0,39.0
945,2020,2020-03-14,46,kinfolks,sam hunt,0.0,english,377.0,0.0,,,3017.0,25.0
946,2020,2020-03-14,47,dior,pop smoke,0.0,english,472.0,0.0,3876058.0,131.0,689.0,148.0
947,2020,2020-03-14,48,grace,lil baby,0.0,english,815.0,0.0,2784826.0,80.0,,
948,2020,2020-03-14,49,ignorantes,bad bunny,1.0,spanish,381.0,381.0,6300993.0,15.0,,
949,2020,2020-03-14,50,one man band,old dominion,0.0,english,315.0,0.0,2160881.0,127.0,1463.0,74.0
950,2020,2020-03-14,51,i hope,gabby barrett,0.0,english,471.0,0.0,1897876.0,163.0,1759.0,62.0
951,2020,2020-03-14,52,blueberry faygo,lil mosey,0.0,english,549.0,0.0,8366456.0,4.0,,
952,2020,2020-03-14,53,la santa,bad bunny,1.0,spanish,537.0,533.0,5243371.0,24.0,,
953,2020,2020-03-14,54,get ugly,lil baby,0.0,english,430.0,0.0,2550724.0,93.0,,
954,2020,2020-03-14,55,heart on ice,rod wave,0.0,english,262.0,0.0,1886769.0,165.0,1404.0,78.0
955,2020,2020-03-14,56,slide,her,0.0,english,560.0,6.0,,,2506.0,34.0
956,2020,2020-03-14,57,juicy,doja cat,0.0,english,690.0,0.0,1877091.0,168.0,2769.0,30.0
957,2020,2020-03-14,58,no sucker,lil baby & moneybagg yo,0.0,english,770.0,1.0,2392037.0,104.0,,
958,2020,2020-03-14,59,how,lil baby,0.0,english,607.0,0.0,2377289.0,105.0,,
959,2020,2020-03-14,60,best on earth,russ,0.0,english,485.0,0.0,,,2986.0,26.0
960,2020,2020-03-14,61,the other side,sza,0.0,english,364.0,0.0,3132980.0,66.0,1787.0,60.0
961,2020,2020-03-14,62,tusa,karol g,1.0,spanish,431.0,312.0,3086365.0,70.0,272.0,377.0
962,2020,2020-03-14,63,pero ya no,bad bunny,1.0,spanish,297.0,297.0,4451510.0,35.0,,
963,2020,2020-03-14,64,forever,lil baby,0.0,english,796.0,8.0,6236781.0,49.0,,
964,2020,2020-03-14,65,go stupid,polo g,0.0,english,770.0,3.0,4898423.0,28.0,,
965,2020,2020-03-14,66,after hours,the weeknd,0.0,english,436.0,0.0,5757047.0,19.0,,
966,2020,2020-03-14,67,nobody but you,blake shelton,0.0,english,352.0,0.0,,,1587.0,69.0
967,2020,2020-03-14,68,on,bts,1.0,korean,354.0,226.0,4567033.0,95.0,,
968,2020,2020-03-14,69,yo perreo sola,bad bunny,1.0,spanish,397.0,397.0,4239832.0,39.0,,
969,2020,2020-03-14,70,homemade,jake owen,0.0,english,281.0,0.0,,,2539.0,33.0
970,2020,2020-03-14,71,chasin you,morgan wallen,0.0,english,325.0,0.0,1829365.0,181.0,1656.0,67.0
971,2020,2020-03-14,72,what she wants tonight,luke bryan,0.0,english,377.0,0.0,,,2405.0,36.0
972,2020,2020-03-14,73,lil top,youngboy never broke again,0.0,english,667.0,0.0,,,,
973,2020,2020-03-14,74,whats poppin,jack harlow,0.0,english,529.0,2.0,6320293.0,14.0,,
974,2020,2020-03-14,75,slow dance in a parking lot,jordan davis,0.0,english,277.0,0.0,,,,
975,2020,2020-03-14,76,numbers,a boogie wit da hoodie,0.0,english,716.0,0.0,4000639.0,45.0,,
976,2020,2020-03-14,77,more hearts than mine,ingrid andress,0.0,english,305.0,0.0,,,1936.0,55.0
977,2020,2020-03-14,78,same thing,lil baby,0.0,english,562.0,0.0,2145157.0,130.0,,
978,2020,2020-03-14,79,we back,jason aldean,0.0,english,388.0,0.0,,,2161.0,43.0
979,2020,2020-03-14,80,make me want to,jimmie allen,0.0,english,322.0,0.0,,,2418.0,35.0
980,2020,2020-03-14,81,safaera,bad bunny,1.0,spanish,711.0,711.0,4112557.0,41.0,,
981,2020,2020-03-14,82,moral of the story,ashe,0.0,english,325.0,0.0,4315823.0,36.0,,
982,2020,2020-03-14,83,i wish grandpas never died,riley green,0.0,english,336.0,0.0,,,1427.0,76.0
983,2020,2020-03-14,84,to die for,sam smith,0.0,english,288.0,0.0,2955090.0,74.0,1241.0,88.0
984,2020,2020-03-14,85,the man,taylor swift,0.0,english,418.0,0.0,,,1719.0,66.0
985,2020,2020-03-14,86,know your worth,khalid,0.0,english,292.0,0.0,2740044.0,81.0,2157.0,45.0
986,2020,2020-03-14,87,catch,brett young,0.0,english,365.0,0.0,,,2004.0,51.0
987,2020,2020-03-14,88,i hope youre happy now,carly pearce,0.0,english,224.0,0.0,,,1596.0,68.0
988,2020,2020-03-14,89,bichiyal,bad bunny,1.0,spanish,401.0,401.0,3835014.0,51.0,,
989,2020,2020-03-14,90,out west,jackboys,0.0,english,492.0,0.0,3703833.0,53.0,330.0,310.0
990,2020,2020-03-14,91,we should,lil baby,0.0,english,632.0,0.0,2020380.0,148.0,,
991,2020,2020-03-14,92,make no sense,youngboy never broke again,0.0,english,506.0,0.0,2615809.0,87.0,,
992,2020,2020-03-14,93,suicidal,ynw melly,0.0,english,442.0,0.0,4569409.0,33.0,,
993,2020,2020-03-14,94,solia,bad bunny,0.0,spanish,280.0,280.0,3759408.0,52.0,,
994,2020,2020-03-14,95,before you go,lewis capaldi,0.0,english,323.0,0.0,2521936.0,94.0,1151.0,95.0
995,2020,2020-03-14,96,no time to die,billie eilish,0.0,english,186.0,0.0,4199984.0,40.0,,
996,2020,2020-03-14,97,esta cabron ser yo,bad bunny,1.0,spanish,401.0,401.0,3170567.0,64.0,,
997,2020,2020-03-14,98,sunday best,surfaces,0.0,english,236.0,0.0,5011637.0,26.0,,
998,2020,2020-03-14,99,cant explain,lil baby,0.0,english,662.0,0.0,,,,
999,2020,2020-03-14,100,pussy fairy,jhene aiko,0.0,english,351.0,0.0,,,,
1000,2020,2020-03-21,1,the box,roddy ricch,0.0,english,540.0,3.0,13973559.0,1.0,6092.0,6.0
1001,2020,2020-03-21,2,dont start now,dua lipa,0.0,english,278.0,0.0,6287047.0,23.0,8336.0,2.0
1002,2020,2020-03-21,3,life is good,future,0.0,english,785.0,0.0,9238440.0,20.0,6917.0,10.0
1003,2020,2020-03-21,4,blinding lights,the weeknd,0.0,english,259.0,0.0,8340706.0,9.0,5352.0,7.0
1004,2020,2020-03-21,5,circles,post malone,0.0,english,314.0,0.0,6157052.0,26.0,8452.0,1.0
1005,2020,2020-03-21,6,baby pluto,lil uzi vert,0.0,english,895.0,0.0,13066541.0,2.0,,
1006,2020,2020-03-21,7,roxanne,arizona zervas,0.0,english,355.0,0.0,6460260.0,21.0,11274.0,3.0
1007,2020,2020-03-21,8,lo mein,lil uzi vert,0.0,english,785.0,0.0,11302903.0,5.0,,
1008,2020,2020-03-21,9,silly watch,lil uzi vert,0.0,english,895.0,3.0,10568433.0,6.0,,
1009,2020,2020-03-21,10,intentions,justin bieber,0.0,english,470.0,0.0,7179199.0,15.0,3773.0,16.0
1010,2020,2020-03-21,11,p2,lil uzi vert,0.0,english,609.0,0.0,11392465.0,4.0,,
1011,2020,2020-03-21,12,dance monkey,tones and i,0.0,english,434.0,0.0,5114482.0,33.0,4295.0,12.0
1012,2020,2020-03-21,13,memories,maroon 5,0.0,english,442.0,0.0,2701358.0,85.0,5144.0,9.0
1013,2020,2020-03-21,14,everything i wanted,billie eilish,0.0,english,305.0,0.0,4001553.0,51.0,6414.0,5.0
1014,2020,2020-03-21,15,someone you loved,lewis capaldi,0.0,english,323.0,0.0,3798461.0,57.0,4126.0,14.0
1015,2020,2020-03-21,16,adore you,harry styles,0.0,english,303.0,0.0,4895706.0,36.0,5293.0,8.0
1016,2020,2020-03-21,17,hot girl bummer,blackbear,0.0,english,513.0,0.0,3955825.0,52.0,10015.0,4.0
1017,2020,2020-03-21,18,i love me,demi lovato,0.0,english,472.0,0.0,5003547.0,35.0,1815.0,56.0
1018,2020,2020-03-21,19,say so,doja cat,0.0,english,460.0,0.0,7614463.0,12.0,3177.0,24.0
1019,2020,2020-03-21,20,that way,lil uzi vert,0.0,english,524.0,0.0,11709004.0,3.0,,
1020,2020,2020-03-21,21,heartless,the weeknd,0.0,english,378.0,0.0,4557656.0,91.0,914.0,106.0
1021,2020,2020-03-21,22,homecoming,lil uzi vert,0.0,english,917.0,3.0,8918334.0,7.0,,
1022,2020,2020-03-21,23,the bones,maren morris,0.0,english,319.0,0.0,1776471.0,188.0,4148.0,13.0
1023,2020,2020-03-21,24,bs,jhene aiko,0.0,english,469.0,0.0,4732551.0,38.0,,
1024,2020,2020-03-21,25,prices,lil uzi vert,0.0,english,811.0,2.0,8141579.0,10.0,,
1025,2020,2020-03-21,26,my oh my,camila cabello,0.0,english,443.0,0.0,3574954.0,61.0,4737.0,11.0
1026,2020,2020-03-21,27,10000 hours,dan and shay,0.0,english,319.0,0.0,3285587.0,69.0,3887.0,32.0
1027,2020,2020-03-21,28,pop,lil uzi vert,0.0,english,921.0,0.0,7501164.0,13.0,,
1028,2020,2020-03-21,29,ballin,dj mustard,0.0,english,577.0,5.0,4557480.0,40.0,3649.0,18.0
1029,2020,2020-03-21,30,stupid love,lady gaga,0.0,english,335.0,0.0,4053822.0,48.0,2753.0,29.0
1030,2020,2020-03-21,31,woah,lil baby,0.0,english,664.0,1.0,4185608.0,45.0,2244.0,40.0
1031,2020,2020-03-21,32,godzilla,eminem,0.0,english,952.0,1.0,5397883.0,30.0,299.0,331.0
1032,2020,2020-03-21,33,bigger than life,lil uzi vert,0.0,english,858.0,0.0,6979576.0,16.0,,
1033,2020,2020-03-21,34,celebration station,lil uzi vert,0.0,english,706.0,4.0,7236905.0,14.0,,
1034,2020,2020-03-21,35,bop,dababy,0.0,english,708.0,0.0,4150081.0,47.0,3547.0,17.0
1035,2020,2020-03-21,36,you better move,lil uzi vert,0.0,english,544.0,0.0,6911717.0,19.0,,
1036,2020,2020-03-21,37,im sorry,lil uzi vert,0.0,english,750.0,0.0,8104607.0,11.0,,
1037,2020,2020-03-21,38,lose you to love me,selena gomez,0.0,english,359.0,0.0,2016653.0,155.0,3882.0,15.0
1038,2020,2020-03-21,39,venetia,lil uzi vert,0.0,english,788.0,4.0,6974452.0,17.0,,
1039,2020,2020-03-21,40,pussy fairy,jhene aiko,0.0,english,351.0,0.0,1956442.0,163.0,,
1040,2020,2020-03-21,41,you should be sad,halsey,0.0,english,391.0,0.0,3919854.0,55.0,2621.0,33.0
1041,2020,2020-03-21,42,falling,trevor daniel,0.0,english,328.0,0.0,7916235.0,28.0,1882.0,53.0
1042,2020,2020-03-21,43,high fashion,roddy ricch,0.0,english,629.0,4.0,6340368.0,22.0,773.0,132.0
1043,2020,2020-03-21,44,homesick,kane brown,0.0,english,274.0,0.0,,,3291.0,19.0
1044,2020,2020-03-21,45,chrome heart tags,lil uzi vert,0.0,english,743.0,0.0,5946189.0,27.0,,
1045,2020,2020-03-21,46,no guidance,chris brown,0.0,english,612.0,0.0,2170803.0,132.0,2197.0,42.0
1046,2020,2020-03-21,47,ritmo bad boys for life,black eyed peas,0.0,english,600.0,281.0,,,,
1047,2020,2020-03-21,48,futsal shuffle 2020,lil uzi vert,0.0,english,762.0,2.0,6930370.0,18.0,,
1048,2020,2020-03-21,49,good as hell,lizzo,0.0,english,371.0,0.0,,,3259.0,21.0
1049,2020,2020-03-21,50,i hope,gabby barrett,0.0,english,471.0,0.0,1791707.0,184.0,2075.0,47.0
1050,2020,2020-03-21,51,bust me,lil uzi vert,0.0,english,512.0,0.0,5643263.0,29.0,,
1051,2020,2020-03-21,52,sum 2 prove,lil baby,0.0,english,901.0,1.0,3311159.0,68.0,1090.0,139.0
1052,2020,2020-03-21,53,blueberry faygo,lil mosey,0.0,english,549.0,0.0,8507559.0,8.0,,
1053,2020,2020-03-21,54,la dificil,bad bunny,1.0,spanish,311.0,311.0,6265355.0,24.0,,
1054,2020,2020-03-21,55,dior,pop smoke,0.0,english,472.0,0.0,2032240.0,152.0,665.0,147.0
1055,2020,2020-03-21,56,si veo a tu mama,bad bunny,1.0,spanish,309.0,309.0,5292230.0,31.0,,
1056,2020,2020-03-21,57,heatin up,lil baby,0.0,english,720.0,6.0,3942029.0,54.0,,
1057,2020,2020-03-21,58,heart on ice,rod wave,0.0,english,262.0,0.0,2009393.0,157.0,1812.0,69.0
1058,2020,2020-03-21,59,bitch,megan thee stallion,0.0,english,700.0,0.0,1752906.0,198.0,1481.0,72.0
1059,2020,2020-03-21,60,homemade,jake owen,0.0,english,281.0,0.0,,,2714.0,31.0
1060,2020,2020-03-21,61,slide,her,0.0,english,560.0,6.0,,,2726.0,30.0
1061,2020,2020-03-21,62,best on earth,russ,0.0,english,485.0,0.0,,,3277.0,20.0
1062,2020,2020-03-21,63,what a man gotta do,jonas brothers,0.0,english,401.0,0.0,2292698.0,117.0,2141.0,43.0
1063,2020,2020-03-21,64,emotionally scarred,lil baby,0.0,english,735.0,0.0,,,,
1064,2020,2020-03-21,65,happiness over everything,jhene aiko,0.0,english,437.0,3.0,3089221.0,76.0,,
1065,2020,2020-03-21,66,vete,bad bunny,1.0,spanish,376.0,376.0,3873346.0,56.0,,
1066,2020,2020-03-21,67,yummy,justin bieber,0.0,english,445.0,2.0,2884368.0,81.0,446.0,223.0
1067,2020,2020-03-21,68,commercial,lil baby,0.0,english,911.0,0.0,2172521.0,131.0,,
1068,2020,2020-03-21,69,nobody but you,blake shelton,0.0,english,352.0,0.0,,,1814.0,57.0
1069,2020,2020-03-21,70,chasin you,morgan wallen,0.0,english,325.0,0.0,2068047.0,146.0,1767.0,63.0
1070,2020,2020-03-21,71,juicy,doja cat,0.0,english,690.0,0.0,,,2376.0,35.0
1071,2020,2020-03-21,72,secure the bag,lil uzi vert,0.0,english,579.0,2.0,5043082.0,34.0,,
1072,2020,2020-03-21,73,whats poppin,jack harlow,0.0,english,529.0,2.0,6239223.0,25.0,,
1073,2020,2020-03-21,74,captain hook,megan thee stallion,0.0,english,692.0,2.0,2776383.0,83.0,,
1074,2020,2020-03-21,75,tusa,karol g,1.0,spanish,431.0,312.0,2889895.0,80.0,297.0,333.0
1075,2020,2020-03-21,76,urgency,lil uzi vert,0.0,english,452.0,0.0,4381965.0,44.0,,
1076,2020,2020-03-21,77,slow dance in a parking lot,jordan davis,0.0,english,277.0,0.0,,,,
1077,2020,2020-03-21,78,what she wants tonight,luke bryan,0.0,english,377.0,0.0,,,2537.0,34.0
1078,2020,2020-03-21,79,skybox,gunna,0.0,english,592.0,0.0,3739729.0,58.0,634.0,300.0
1079,2020,2020-03-21,80,the other side,sza,0.0,english,364.0,0.0,2016149.0,156.0,2282.0,37.0
1080,2020,2020-03-21,81,we back,jason aldean,0.0,english,388.0,0.0,,,2269.0,77.0
1081,2020,2020-03-21,82,i wish grandpas never died,riley green,0.0,english,336.0,0.0,,,1476.0,74.0
1082,2020,2020-03-21,83,ignorantes,bad bunny,1.0,spanish,381.0,381.0,4821078.0,37.0,,
1083,2020,2020-03-21,84,safaera,bad bunny,1.0,spanish,711.0,711.0,4041249.0,49.0,,
1084,2020,2020-03-21,85,more hearts than mine,ingrid andress,0.0,english,305.0,0.0,,,2112.0,46.0
1085,2020,2020-03-21,86,catch,brett young,0.0,english,365.0,0.0,,,2248.0,39.0
1086,2020,2020-03-21,87,triggered,jhene aiko,0.0,english,425.0,0.0,2158156.0,133.0,,
1087,2020,2020-03-21,88,ptsd,g herbo,0.0,english,642.0,0.0,3503850.0,63.0,,
1088,2020,2020-03-21,89,oprahs bank account,lil yachty,0.0,english,711.0,0.0,2144740.0,136.0,,
1089,2020,2020-03-21,90,go stupid,polo g,0.0,english,770.0,3.0,4423256.0,43.0,,
1090,2020,2020-03-21,91,i hope youre happy now,carly pearce,0.0,english,224.0,0.0,,,1634.0,67.0
1091,2020,2020-03-21,92,la santa,bad bunny,1.0,spanish,537.0,533.0,3949157.0,53.0,,
1092,2020,2020-03-21,93,none of your concern,jhene aiko,0.0,english,572.0,0.0,2195334.0,127.0,,
1093,2020,2020-03-21,94,know your worth,khalid,0.0,english,292.0,0.0,2467201.0,102.0,2236.0,41.0
1094,2020,2020-03-21,95,sugar,brockhampton,0.0,english,550.0,0.0,4891430.0,74.0,532.0,185.0
1095,2020,2020-03-21,96,to die for,sam smith,0.0,english,288.0,0.0,2426717.0,104.0,1342.0,80.0
1096,2020,2020-03-21,97,yo perreo sola,bad bunny,1.0,spanish,397.0,397.0,3347417.0,65.0,,
1097,2020,2020-03-21,98,grace,lil baby,0.0,english,815.0,0.0,,,,
1098,2020,2020-03-21,99,sunday best,surfaces,0.0,english,236.0,0.0,5136659.0,32.0,257.0,390.0
1099,2020,2020-03-21,100,after hours,the weeknd,0.0,english,436.0,0.0,4463168.0,41.0,,
1100,2020,2020-03-28,1,the box,roddy ricch,0.0,english,540.0,3.0,12987027.0,1.0,6205.0,6.0
1101,2020,2020-03-28,2,blinding lights,the weeknd,0.0,english,259.0,0.0,7744570.0,4.0,6120.0,7.0
1102,2020,2020-03-28,3,dont start now,dua lipa,0.0,english,278.0,0.0,5731093.0,16.0,8493.0,1.0
1103,2020,2020-03-28,4,life is good,future,0.0,english,785.0,0.0,7873073.0,17.0,7166.0,10.0
1104,2020,2020-03-28,5,circles,post malone,0.0,english,314.0,0.0,5503791.0,18.0,8106.0,2.0
1105,2020,2020-03-28,6,roxanne,arizona zervas,0.0,english,355.0,0.0,6020793.0,12.0,10284.0,3.0
1106,2020,2020-03-28,7,adore you,harry styles,0.0,english,303.0,0.0,4625204.0,27.0,6085.0,8.0
1107,2020,2020-03-28,8,intentions,justin bieber,0.0,english,470.0,0.0,6176234.0,11.0,3935.0,15.0
1108,2020,2020-03-28,9,someone you loved,lewis capaldi,0.0,english,323.0,0.0,3586150.0,50.0,4200.0,14.0
1109,2020,2020-03-28,10,everything i wanted,billie eilish,0.0,english,305.0,0.0,3642827.0,45.0,6536.0,5.0
1110,2020,2020-03-28,11,hot girl bummer,blackbear,0.0,english,513.0,0.0,3700960.0,40.0,10331.0,4.0
1111,2020,2020-03-28,12,memories,maroon 5,0.0,english,442.0,0.0,2499430.0,91.0,4885.0,11.0
1112,2020,2020-03-28,13,myron,lil uzi vert,0.0,english,790.0,0.0,9163134.0,2.0,,
1113,2020,2020-03-28,14,say so,doja cat,0.0,english,460.0,0.0,6743360.0,7.0,4197.0,13.0
1114,2020,2020-03-28,15,dance monkey,tones and i,0.0,english,434.0,0.0,4699703.0,26.0,3374.0,21.0
